p 1092
e 1 494
e 2 880
e 3 198
e 4 569
e 5 135
e 6 823
e 7 428
e 8 892
e 9 210
e 10 557
e 11 123
e 12 811
e 13 440
e 14 904
e 15 222
e 16 545
e 17 111
e 18 799
e 19 452
e 20 916
e 21 234
e 22 533
e 23 99
e 24 787
e 25 464
e 26 850
e 27 246
e 28 521
e 29 87
e 30 775
e 31 476
e 32 862
e 33 180
e 34 509
e 35 153
e 36 763
e 37 488
e 38 874
e 39 192
e 40 575
e 41 141
e 42 829
e 43 422
e 44 886
e 45 204
e 46 563
e 47 129
e 48 817
e 49 434
e 50 898
e 51 216
e 52 551
e 53 117
e 54 805
e 55 446
e 56 910
e 57 228
e 58 539
e 59 105
e 60 793
e 61 458
e 62 844
e 63 240
e 64 527
e 65 93
e 66 781
e 67 470
e 68 856
e 69 174
e 70 515
e 71 159
e 72 769
e 73 482
e 74 868
e 75 186
e 76 581
e 77 147
e 78 757
e 79 181
e 80 1068
e 81 718
e 82 537
e 83 863
e 84 344
e 85 325
e 86 711
e 88 738
e 89 304
e 90 992
e 91 253
e 92 681
e 94 708
e 95 262
e 96 968
e 97 259
e 98 729
e 100 678
e 101 298
e 102 944
e 103 265
e 104 699
e 106 726
e 107 256
e 108 998
e 109 271
e 110 747
e 112 696
e 113 292
e 114 974
e 115 277
e 116 717
e 118 744
e 119 328
e 120 950
e 121 283
e 122 687
e 124 714
e 125 286
e 126 926
e 127 289
e 128 735
e 130 684
e 131 322
e 132 980
e 133 295
e 134 705
e 136 732
e 137 280
e 138 956
e 139 301
e 140 675
e 142 702
e 143 316
e 144 932
e 145 307
e 146 723
e 148 750
e 149 274
e 150 986
e 151 313
e 152 693
e 154 720
e 155 310
e 156 962
e 157 319
e 158 741
e 160 690
e 161 268
e 162 938
e 163 175
e 164 1074
e 165 724
e 166 543
e 167 869
e 168 350
e 169 247
e 170 542
e 171 952
e 172 276
e 173 473
e 176 548
e 177 934
e 178 324
e 179 479
e 182 554
e 183 994
e 184 294
e 185 485
e 187 1087
e 188 560
e 189 976
e 190 264
e 191 491
e 193 1003
e 194 566
e 195 958
e 196 312
e 197 497
e 199 919
e 200 572
e 201 940
e 202 282
e 203 425
e 205 835
e 206 578
e 207 1000
e 208 330
e 209 431
e 211 751
e 212 506
e 213 982
e 214 300
e 215 437
e 217 667
e 218 512
e 219 964
e 220 270
e 221 443
e 223 583
e 224 518
e 225 946
e 226 318
e 227 449
e 229 499
e 230 524
e 231 928
e 232 288
e 233 455
e 235 415
e 236 530
e 237 988
e 238 258
e 239 461
e 241 331
e 242 536
e 243 970
e 244 306
e 245 467
e 248 1080
e 249 730
e 250 549
e 251 875
e 252 356
e 254 373
e 255 783
e 257 642
e 260 337
e 261 789
e 263 618
e 266 379
e 267 795
e 269 594
e 272 343
e 273 801
e 275 648
e 278 385
e 279 807
e 281 624
e 284 349
e 285 813
e 287 600
e 290 391
e 291 819
e 293 654
e 296 355
e 297 825
e 299 630
e 302 397
e 303 831
e 305 606
e 308 361
e 309 759
e 311 660
e 314 403
e 315 765
e 317 636
e 320 367
e 321 771
e 323 612
e 326 409
e 327 777
e 329 666
e 332 1086
e 333 736
e 334 555
e 335 881
e 336 362
e 338 1092
e 339 614
e 340 1030
e 341 372
e 342 407
e 345 644
e 346 1036
e 347 348
e 351 596
e 352 1042
e 353 402
e 354 365
e 357 626
e 358 1048
e 359 378
e 360 383
e 363 656
e 364 1054
e 366 401
e 368 420
e 369 608
e 370 1060
e 371 408
e 374 504
e 375 638
e 376 1066
e 377 384
e 380 588
e 381 590
e 382 1072
e 386 672
e 387 620
e 388 1078
e 389 414
e 390 395
e 392 756
e 393 650
e 394 1084
e 396 413
e 398 840
e 399 602
e 400 1012
e 404 924
e 405 632
e 406 1018
e 410 1008
e 411 662
e 412 1024
e 416 1014
e 417 742
e 418 561
e 419 887
e 421 429
e 423 445
e 424 861
e 426 576
e 427 447
e 430 885
e 432 582
e 433 465
e 435 475
e 436 909
e 438 510
e 439 483
e 441 451
e 442 855
e 444 516
e 448 879
e 450 522
e 453 481
e 454 903
